YEAR	JF_Reg1	JF_Reg2	JF_Reg3	JF_Reg4	JF_Reg5	JF_Reg6	JF_Reg7	JF_Reg8	AM_Reg1	AM_Reg2	AM_Reg3	AM_Reg4	AM_Reg5	AM_Reg6	AM_Reg7	AM_Reg8	AM_Reg9	JA_Reg1	JA_Reg2	JA_Reg3	JA_Reg4	JA_Reg5	JA_Reg6	JA_Reg7	ON_Reg1	ON_Reg2	ON_Reg3	ON_Reg4	ON_Reg5	ON_Reg6	ON_Reg7	ON_Reg8	ON_Reg9
1976	26.91666667	28.14285714	28.20588235	33.35714286	39.35555556	36.26666667	45.34782609	31.15789474	38.73076923	45.72727273	36.42105263	43.2	39.25	28.28571429	38	35.78787879	29.3	41.27777778	48.29411765	43.72413793	54.17241379	51.83333333	51.59090909	56.92307692	29.77777778	32	39.6	36.95652174	41.5	46.6	35.88235294	45.94117647	50.76923077
1977	27	27	29.55882353	32.71428571	35.37777778	31.46666667	38.47826087	35.21052632	28.76923077	34.81818182	37	40.96666667	31	37.35714286	48.6	44.36363636	38.3	42.88888889	43.11764706	46.27586207	49.10344828	50.20833333	51.63636364	42.15384615	32.11111111	29.25	37.92	41.47826087	42.79411765	48.96	41.64705882	49.17647059	49.61538462
1978	26.41666667	26.04761905	28.67647059	32.78571429	30.91111111	34.13333333	40.47826087	32.31578947	37.15384615	46.13636364	38.10526316	41.3	42.0625	36	44	37.60606061	29.6	41.77777778	45.23529412	47.87931034	53.68965517	51.58333333	48.77272727	48.53846154	29.33333333	38	33.32	36.30434783	43.67647059	49.48	44.64705882	50.58823529	57.46153846
1979	29.33333333	25.80952381	27.79411765	34.28571429	33.33333333	33.8	32.08695652	29.57894737	43.84615385	43.09090909	36.36842105	40.83333333	36.3125	32.57142857	41	33.57575758	30.4	40.83333333	45.35294118	44.06896552	54.89655172	49.5	52.5	52.69230769	30.55555556	41.75	42.84	35.86956522	43.23529412	43	38.70588235	48.11764706	48.38461538
1980	25.83333333	26.28571429	28.55882353	31.07142857	32.53333333	35.86666667	39.13043478	26	43.23076923	49.63636364	39.31578947	43.46666667	42.125	29.42857143	36.1	41.21212121	32.1	41.94444444	43.76470588	47.44827586	55.37931034	47.16666667	47.5	49.07692308	32.77777778	39.75	35.44	36.39130435	41.41176471	46.76	36.47058824	40.58823529	51.15384615
1981	26.83333333	27.61904762	28.70588235	32.07142857	40.77777778	31.53333333	46.82608696	34.63157895	36.76923077	56.54545455	34.10526316	40.8	47.875	39.35714286	45.3	38.84848485	36.6	39.88888889	41.29411765	48.46551724	54.68965517	55.25	52.90909091	55	36.55555556	40.3125	30.64	36.43478261	44.70588235	47.28	37	46.64705882	54.69230769
1982	25.83333333	27.57142857	27.64705882	31.5	34.64444444	37.53333333	41.17391304	25.05263158	29.92307692	34.59090909	35.78947368	41.1	33.75	34.21428571	42.15	35.24242424	28.5	39.77777778	49.23529412	46.4137931	51.93103448	48.83333333	51.5	58.84615385	49.77777778	35.75	38.76	38.82608696	42.52941176	42.96	42.47058824	48.23529412	49.53846154
1983	28.08333333	26.57142857	27.05882353	32.07142857	30.64444444	27.53333333	44	43.78947368	32.92307692	38.90909091	40.05263158	42.73333333	24.6875	33.28571429	37.8	42.51515152	35.5	43.22222222	43	44.36206897	48.20689655	51.33333333	56.27272727	63.76923077	37.11111111	36.5	42.56	34.86956522	41.05882353	46.2	41.23529412	43.47058824	49.92307692
1984	30.5	28.33333333	29.64705882	31.57142857	39.22222222	33.33333333	46.30434783	37	32.26923077	49.31818182	36.42105263	40.03333333	42.375	36.85714286	39.75	42.24242424	32	42.88888889	48.05882353	48.03448276	54.31034483	53.70833333	51.40909091	46.92307692	41.55555556	29.0625	37.16	36.91304348	42.5	38.44	40.82352941	45.23529412	44.38461538
1985	28.16666667	27.57142857	28.08823529	31.64285714	39.08888889	34.66666667	38.86956522	29.42105263	38.42307692	51.86363636	41.42105263	45.06666667	40.5	51.85714286	45.2	40.24242424	30.6	50.33333333	42.64705882	47.27586207	50.86206897	47.66666667	48.31818182	48.61538462	45.77777778	36	35.04	35.82608696	41.55882353	45.8	44.88235294	43.05882353	48.46153846
