month,longitude,"r,p<0.1",index,yrmin,yrmax
Aug,-72.5,NA,mexicoarea,2004,2018
Aug,-70,NA,mexicoarea,2004,2018
Aug,-67.5,NA,mexicoarea,2004,2018
Aug,-65,NA,mexicoarea,2004,2018
Aug,-62.5,NA,mexicoarea,2004,2018
Aug,-60,NA,mexicoarea,2004,2018
Sep,-110,-0.703571429,mexicoarea,2004,2018
Sep,-107.5,-0.678571429,mexicoarea,2004,2018
Sep,-105,-0.742857143,mexicoarea,2004,2018
Sep,-102.5,-0.725,mexicoarea,2004,2018
Sep,-100,-0.7,mexicoarea,2004,2018
Sep,-97.5,-0.692857143,mexicoarea,2004,2018
Sep,-95,NA,mexicoarea,2004,2018
Sep,-92.5,-0.442857143,mexicoarea,2004,2018
Sep,-90,-0.475,mexicoarea,2004,2018
Sep,-87.5,-0.442857143,mexicoarea,2004,2018
Sep,-85,-0.442857143,mexicoarea,2004,2018
Sep,-82.5,NA,mexicoarea,2004,2018
Sep,-80,NA,mexicoarea,2004,2018
Sep,-77.5,NA,mexicoarea,2004,2018
Sep,-75,NA,mexicoarea,2004,2018
Sep,-72.5,NA,mexicoarea,2004,2018
Sep,-70,NA,mexicoarea,2004,2018
Sep,-67.5,NA,mexicoarea,2004,2018
Sep,-65,NA,mexicoarea,2004,2018
Sep,-62.5,NA,mexicoarea,2004,2018
Sep,-60,NA,mexicoarea,2004,2018
Oct,-110,NA,mexicoarea,2004,2018
Oct,-107.5,0.471428571,mexicoarea,2004,2018
Oct,-105,0.525,mexicoarea,2004,2018
Oct,-102.5,0.578571429,mexicoarea,2004,2018
Oct,-100,0.553571429,mexicoarea,2004,2018
Oct,-97.5,NA,mexicoarea,2004,2018
Oct,-95,NA,mexicoarea,2004,2018
Oct,-92.5,NA,mexicoarea,2004,2018
Oct,-90,NA,mexicoarea,2004,2018
Oct,-87.5,NA,mexicoarea,2004,2018
Oct,-85,NA,mexicoarea,2004,2018
Oct,-82.5,NA,mexicoarea,2004,2018
Oct,-80,NA,mexicoarea,2004,2018
Oct,-77.5,NA,mexicoarea,2004,2018
Oct,-75,NA,mexicoarea,2004,2018
Oct,-72.5,NA,mexicoarea,2004,2018
Oct,-70,NA,mexicoarea,2004,2018
Oct,-67.5,NA,mexicoarea,2004,2018
Oct,-65,NA,mexicoarea,2004,2018
Oct,-62.5,NA,mexicoarea,2004,2018
Oct,-60,NA,mexicoarea,2004,2018
Nov,-110,-0.646428571,mexicoarea,2004,2018
Nov,-107.5,-0.635714286,mexicoarea,2004,2018
Nov,-105,-0.55,mexicoarea,2004,2018
Nov,-102.5,-0.478571429,mexicoarea,2004,2018
Nov,-100,NA,mexicoarea,2004,2018
Nov,-97.5,NA,mexicoarea,2004,2018
Nov,-95,-0.467857143,mexicoarea,2004,2018
Nov,-92.5,NA,mexicoarea,2004,2018
Nov,-90,NA,mexicoarea,2004,2018
Nov,-87.5,NA,mexicoarea,2004,2018
Nov,-85,NA,mexicoarea,2004,2018
Nov,-82.5,NA,mexicoarea,2004,2018
Nov,-80,NA,mexicoarea,2004,2018
Nov,-77.5,NA,mexicoarea,2004,2018
Nov,-75,NA,mexicoarea,2004,2018
Nov,-72.5,NA,mexicoarea,2004,2018
Nov,-70,NA,mexicoarea,2004,2018
Nov,-67.5,NA,mexicoarea,2004,2018
Nov,-65,NA,mexicoarea,2004,2018
Nov,-62.5,NA,mexicoarea,2004,2018
Nov,-60,NA,mexicoarea,2004,2018
Jan,-110,NA,seproost,2004,2018
Jan,-107.5,NA,seproost,2004,2018
Jan,-105,NA,seproost,2004,2018
Jan,-102.5,0.478571429,seproost,2004,2018
Jan,-100,NA,seproost,2004,2018
Jan,-97.5,NA,seproost,2004,2018
Jan,-95,NA,seproost,2004,2018
Jan,-92.5,NA,seproost,2004,2018
Jan,-90,NA,seproost,2004,2018
Jan,-87.5,NA,seproost,2004,2018
Jan,-85,NA,seproost,2004,2018
Jan,-82.5,NA,seproost,2004,2018
Jan,-80,NA,seproost,2004,2018
Jan,-77.5,NA,seproost,2004,2018
Jan,-75,NA,seproost,2004,2018
Jan,-72.5,NA,seproost,2004,2018
Jan,-70,NA,seproost,2004,2018
Jan,-67.5,NA,seproost,2004,2018
Jan,-65,NA,seproost,2004,2018
Jan,-62.5,NA,seproost,2004,2018
Jan,-60,NA,seproost,2004,2018
Feb,-110,NA,seproost,2004,2018
Feb,-107.5,NA,seproost,2004,2018
Feb,-105,NA,seproost,2004,2018
Feb,-102.5,NA,seproost,2004,2018
Feb,-100,NA,seproost,2004,2018
Feb,-97.5,NA,seproost,2004,2018
Feb,-95,NA,seproost,2004,2018
Feb,-92.5,NA,seproost,2004,2018
Feb,-90,NA,seproost,2004,2018
Feb,-87.5,NA,seproost,2004,2018
Feb,-85,NA,seproost,2004,2018
Feb,-82.5,NA,seproost,2004,2018
Feb,-80,NA,seproost,2004,2018
Feb,-77.5,NA,seproost,2004,2018
Feb,-75,NA,seproost,2004,2018
Feb,-72.5,NA,seproost,2004,2018
Feb,-70,NA,seproost,2004,2018
Feb,-67.5,NA,seproost,2004,2018
Feb,-65,NA,seproost,2004,2018
Feb,-62.5,NA,seproost,2004,2018
Feb,-60,NA,seproost,2004,2018
Mar,-110,NA,seproost,2004,2018
Mar,-107.5,NA,seproost,2004,2018
Mar,-105,NA,seproost,2004,2018
Mar,-102.5,NA,seproost,2004,2018
Mar,-100,NA,seproost,2004,2018
